id,price,speed,hd,ram,screen,cores,cd,laptop,trend
1,935,16,8,14,12,8,0,1,1
2,741,19,20,6,12,6,0,1,1
3,2945,16,20,14,23,14,0,0,1
4,3478,38,3,44,17,26,0,0,4
5,649,24,20,14,11,10,0,1,2
6,2596,17,28,10,15,16,1,0,2
7,2765,17,24,2,17,28,0,0,4
8,3824,32,3,48,19,28,1,0,5
9,4322,35,3,24,19,20,0,0,5
10,2740,18,20,2,19,18,1,0,4
11,1464,17,8,2,19,10,1,0,1
12,2133,15,28,2,17,14,0,0,1
13,3221,32,1,44,19,14,0,0,1
14,3313,39,5,60,23,18,0,0,4
15,2989,19,20,6,15,30,0,0,5
16,2121,16,16,2,21,16,0,0,2
17,3390,37,5,44,19,14,0,0,1
18,2817,21,16,6,19,14,0,0,2
19,963,16,28,6,13,4,0,1,2
20,2763,18,28,2,17,12,0,0,2
21,4255,34,7,20,19,14,0,0,2
22,2393,21,16,2,17,14,0,0,1
23,2526,19,24,14,15,18,0,0,4
24,2772,20,12,6,21,28,1,0,5
25,3614,32,5,24,21,18,0,0,5
26,3588,39,5,20,21,22,1,0,5
27,1750,16,28,6,21,4,0,0,1
28,1293,17,16,10,17,6,0,0,1
29,986,22,12,2,11,10,0,1,2
30,4194,36,5,48,17,14,0,0,1
31,3982,38,7,16,15,12,0,0,1
32,1623,15,12,2,15,8,0,0,2
33,1701,22,24,2,17,6,0,0,2
34,3513,32,5,36,21,28,0,0,4
35,2215,15,20,10,15,22,0,0,4
36,2174,22,24,14,23,30,0,0,4
37,3894,32,5,44,15,28,0,0,4
38,1155,18,28,14,13,8,0,1,1
39,3426,32,3,20,19,24,0,0,5
40,2517,15,24,6,19,14,0,0,2
41,3192,34,7,32,15,14,1,0,2
42,1175,20,12,2,11,8,0,1,2
43,1364,22,24,10,21,6,1,0,2
44,3237,31,7,52,17,22,0,0,4
45,2016,20,20,10,19,20,1,0,4
46,2194,23,28,6,21,20,0,0,4
47,2591,17,20,14,23,14,0,0,2
48,1150,23,20,6,12,8,0,1,2
49,2337,19,8,10,15,26,0,0,5
50,1796,15,8,2,23,8,1,0,2
51,3931,30,7,52,19,12,0,0,2
52,2168,24,16,10,21,20,1,0,4
53,749,17,24,6,13,8,0,1,1
