Time,European Union - 27 countries (from 2020),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
2018-10,-4.7,-4.9,-23.4,4.1,4.7,-0.1,-0.9,6.6,-31.4,-6.2,-11.3,-6.4,-8,-1.4,-5.9,0.8,-2.2,-4.2,7.2,-0.7,-1.5,2.8,-4.9,-11.4,-8.4,-8,-0.2,-1.9
2018-11,-5.2,-6.9,-27.3,1.9,5.2,-0.1,-2.8,5.2,-33.2,-4.9,-13.5,-5,-9,-5,-6.4,2.9,1.1,-4.3,9.9,-1.7,-0.3,3.1,-6.6,-13.8,-8.3,-8.5,-1.3,-1.3
2018-12,-6.5,-10.9,-25.7,4.7,3.5,-0.6,-0.7,3.4,-30.2,-6.2,-17,-5.7,-9.8,-6.6,-5.6,0.9,-1.5,-4.3,7.7,-4.6,-1.3,1.3,-7.1,-13.6,-8.5,-8,-1.9,-2.6
2019-01,-5.9,-10.8,-26.7,4.7,3.1,-0.1,0.4,0,-30.2,-5.6,-11.9,-5.6,-9.9,-4.6,-4.7,3.9,1.5,-3.7,3.1,-8.3,-1.3,2.2,-7.9,-14.7,-8,-10,-1.6,-3
2019-02,-5.8,-10.7,-26.6,3.8,3.2,-0.4,-1.1,-2.3,-35,-5.6,-10.4,-5.1,-11,-8.1,-7,4.9,-0.7,-4,6.6,-7.6,-0.9,5.6,-9.6,-13.8,-8.3,-7.4,-2.6,-3.4
2019-03,-5.4,-8.6,-25.1,1.8,4.5,0,0.5,-2.3,-33.3,-2,-9.8,-5.7,-12,-7.8,-2.8,5.2,2.4,-5.1,-0.1,-8.4,-1,5.9,-10.6,-12.2,-8.4,-9.3,-2,-2
2019-04,-6.2,-8.4,-26.1,0.7,3.3,-0.3,-1.4,-2.5,-33.5,-5.7,-10.3,-4.3,-12.1,-7,-2.2,4.5,-0.4,-5.6,1.6,-7.1,-2.9,2.8,-7.4,-11.5,-9.6,-8.1,-1.7,-0.9
2019-05,-5.7,-7.8,-24.7,-0.2,6.4,-0.9,0.9,3.3,-30.7,-4.2,-8.3,-4,-12.4,-7.1,-3.5,5.7,1.3,-5.2,7.2,-8.4,0.8,3.1,-8.8,-9,-8.7,-7.6,-2,-3.5
2019-06,-6,-10.3,-24.6,0.5,5.4,-2.4,-1.9,4.9,-28.6,-1.8,-8.3,-3.5,-14.1,-7.1,-4.2,7,-1.1,-4.6,6.3,-5.8,-3.4,7.3,-8.4,-6.7,-8.3,-6.1,-4.4,-3.6
2019-07,-5.5,-10,-22.9,0.6,1.4,-2.8,0,-1.9,-18.1,-5.4,-6.7,-6.3,-11.4,-6.9,-1.7,5.4,-0.8,-6.2,9.4,-5.4,-3.7,6.7,-6.4,-5.3,-8.5,-6,-4.1,-1.6
