Time,European Union - 27 countries (from 2020),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
2022-01,-10.9,-10,-19,-16.4,0.8,-5.2,-14.6,-4.2,-40.5,-13.5,-9.2,-14.2,-10,-18.6,-16.8,-5.5,-8.2,-12.4,-1.1,-11.4,-7.6,-13.3,-17.8,:,-24.7,-21.2,-1.6,-2.2
2022-02,-10.7,-10,-20.5,-14.9,0.8,-6.2,-15.8,-10.4,-38.9,-11.1,-8.3,-22,-10.8,-19.6,-14,-4.6,-7.6,-10.1,0.5,-15.2,-7.4,-11.4,-14.8,:,-23.1,-21.8,-0.3,-1.7
2022-03,-22.5,-21.9,-29.5,-28.4,-11.3,-15.3,-17,-22.3,-51.4,-29.5,-21.1,-22.7,-24.6,-33,-25.5,-9,-23.8,-22.9,-2.7,-23.2,-22.6,-12.1,-33.9,:,-32.4,-28.8,-10.3,-11.3
2022-04,-23.1,-19,-29.3,-27.6,-14.8,-18.9,-19.3,-23.8,-55.3,-27.6,-19.3,-21.9,-22.6,-33,-21.9,-8.8,-22,-25.2,1.9,-26.9,-21.5,-14.3,-32.6,:,-27.6,-28,-12.1,-10.2
2022-05,-22.6,-19.2,-32.5,-28.8,-15.6,-18.3,-27.1,-22.1,-51.3,-23.8,-19,-25.1,-22.4,-35.4,-28,-8.4,-20.5,-29.5,-0.6,-22.8,-24.7,-16.3,-30.5,:,-31.9,-27.4,-11.9,-13.5
2022-06,-24.9,-18.9,-30.1,-29.8,-17.4,-19.9,-32.5,-27.9,-52.5,-29.5,-21.3,-27.5,-24.1,-35.2,-39.6,-11.1,-23,-35.8,-7.1,-28.1,-25.3,-13.1,-32.6,:,-33.5,-28.1,-13.8,-15.1
2022-07,-28,-20.3,-27.1,-32.5,-18,-25.2,-33.7,-32.6,-55.3,-35.5,-21.9,-29,-27.8,-35.4,-23.7,-12.1,-22.7,-38.8,-10.9,-26.6,-33.5,-15.8,-30.9,:,-37.8,-29.2,-15.2,-20.5
2022-08,-26.2,-19.4,-28.4,-28.1,-14.7,-24.1,-35.3,-26.8,-54.2,-31.5,-18.8,-28.3,-24.7,-36,-29,-10.8,-25.9,-45.9,-11.3,-28.9,-31,-19.5,-31.6,:,-37,-29.8,-14.9,-20.3
2022-09,-29.8,-28,-30.7,-30.5,-20,-29.4,-42.6,-32.2,-51.2,-31.8,-22.4,-26.9,-26.4,-27.5,-31.2,-14.9,-29.9,-46.7,-9.7,-35.8,-31.5,-20.2,-35.7,:,-38.7,-31.4,-18.7,-26.4
2022-10,-28.7,-26.5,-28.1,-31.6,-23.5,-28.3,-36.2,-26.3,-57.9,-30.9,-20.8,-25.7,-26.4,-32.6,-27.7,-13.4,-27.6,-49.1,-17.9,-32.4,-30.2,-20.1,-37.7,:,-37.2,-33.1,-17.4,-27.5
2022-11,-25.1,-21.9,-27.2,-29.7,-17.8,-25.1,-34.6,-27.7,-51.9,-27.8,-18.7,-24.3,-18.1,-30.2,-31.9,-8.3,-23.5,-47.3,-17.5,-29.2,-29.1,-19.4,-37.7,:,-36.6,-31,-16.6,-23.3
2022-12,-23.5,-18.3,-25.8,-28.3,-16.3,-22,-35.8,-21.8,-47.9,-25,-20.7,-21.6,-16.6,-28,-32.9,-7.3,-20.9,-45.5,-11.8,-24.7,-29.3,-17.3,-36.6,:,-31.7,-32.2,-17.6,-24.1
